W	X	Y	Z	D	stderr	Zscore	BABA	ABBA	nsnps	timescale	parameters	stat	ds	select	rep
Afr	AMH1	Vindija	outgroup	0.0032	0.004602	0.687	14969	14874	995559	medium	pseudohaploid	dstat	1000000	all	93
Afr	admix	Vindija	outgroup	-0.115	0.006806	-16.902	14213	17907	995605	medium	pseudohaploid	dstat	1000000	all	94
Afr	AMH1	Vindija	outgroup	0.0053	0.0044	1.195	15011	14854	995605	medium	pseudohaploid	dstat	1000000	all	94
Afr	admix	Vindija	outgroup	-0.1139	0.006575	-17.318	14213	17865	995551	medium	pseudohaploid	dstat	1000000	all	95
Afr	AMH1	Vindija	outgroup	0.0051	0.004552	1.126	14982	14829	995551	medium	pseudohaploid	dstat	1000000	all	95
Afr	admix	Vindija	outgroup	-0.1176	0.00704	-16.7	14163	17936	995622	medium	pseudohaploid	dstat	1000000	all	96
Afr	AMH1	Vindija	outgroup	-0.0023	0.004617	-0.492	14870	14938	995622	medium	pseudohaploid	dstat	1000000	all	96
Afr	admix	Vindija	outgroup	-0.109	0.006762	-16.12	14270	17761	995506	medium	pseudohaploid	dstat	1000000	all	97
Afr	AMH1	Vindija	outgroup	-0.0018	0.004396	-0.413	14841	14895	995506	medium	pseudohaploid	dstat	1000000	all	97
Afr	admix	Vindija	outgroup	-0.1107	0.006862	-16.128	14308	17868	995629	medium	pseudohaploid	dstat	1000000	all	98
Afr	AMH1	Vindija	outgroup	0.0037	0.004438	0.831	14997	14887	995629	medium	pseudohaploid	dstat	1000000	all	98
Afr	admix	Vindija	outgroup	-0.1159	0.006535	-17.742	14320	18076	995621	medium	pseudohaploid	dstat	1000000	all	99
Afr	AMH1	Vindija	outgroup	0.0056	0.004429	1.256	15154	14987	995621	medium	pseudohaploid	dstat	1000000	all	99
Afr	admix	Vindija	outgroup	-0.1107	0.014092	-7.855	1422	1776	99588	medium	pseudohaploid	dstat	100000	all	0
Afr	AMH1	Vindija	outgroup	0.017	0.013096	1.299	1527	1476	99588	medium	pseudohaploid	dstat	100000	all	0
Afr	admix	Vindija	outgroup	-0.0937	0.014688	-6.382	1429	1724	99564	medium	pseudohaploid	dstat	100000	all	1
